,类型,报告标题,披露时间,披露机构,攻击方法,组织别名,报告摘要
368,攻击模式分析报告 (48),Java ATM恶意软件：内部威胁,2019/7/30,暂无数据,['暂无数据'],暂无数据,yoroi研究人员发现一个ATM恶意软件样本，可能与最近针对银行业的网络犯罪活动有关。该恶意软件可以与自动柜员机进行交互。并且滥用Java Instrumentation技术，以操纵合法的基于Java的ATM管理软件的控制流程。恶意软件会利用Java Attach API，识别ATM软件使用的Java虚拟机(JVM)，然后使用” vm.loadAgent”方法强制加载Java代理，其最终目的是在受害系统中部署一个HTTP服务器，以充当攻击者和受害ATM之间的接口。C2地址被硬编码在恶意代码中。
369,攻击模式分析报告 (48),危险的TrickBot攻击运动,2019/7/29,暂无数据,"['漏洞利用', '鱼叉式网络钓鱼电子邮件', '木马后门']",暂无数据,Yoroi研究人员最近发现一个针对意大利公司和机构的攻击活动。攻击者使用伪装成办公室和行政人员通信文档的钓鱼邮件发起攻击。钓鱼邮件里面包含恶意链接，一旦目标点击链接，就会下载恶意压缩文档。恶意文档被打开时，就会触发感染链，使受害者感染Trickbot银行木马变种。
370,攻击模式分析报告 (48),P2P蠕虫在野外传播密码采集器,2019/7/23,暂无数据,"['漏洞利用', '鱼叉式网络钓鱼电子邮件', '木马后门']",暂无数据,Cybaze-Yoroi ZLAB最近发现一个伪装成著名意大利歌手唱片集的恶意可执行文件，该文件为SFX存档格式，通过BitTorrent下载，SFX存档可以让攻击者隐藏恶意PE内容并降低检测率。
371,攻击模式分析报告 (48),Hard Pass:APT34拒绝加入他们的专业网络,2019/7/18,暂无数据,"['鱼叉式网络钓鱼电子邮件', '木马后门', '跨站脚本攻击', '零日漏洞', 'APT攻击', 'DDOS攻击', '拒绝服务攻击', '水坑式攻击', '中间人攻击', '供应链攻击', '漏洞利用', '无文件攻击']",APT34OilRig,APT34 伊朗的APT组织，伪装剑桥大学发送钓鱼邮件，针对政府、能源、公共行业等目标。使用特马：TONEDEAF，使用HTTP或DNS与命令和控制服务器通信。
372,攻击模式分析报告 (48),垃圾邮件运动针对哥伦比亚实体定制的‘Proyecto RAT’，为C&amp;C使用YOPmail电子邮件服务,2019/7/18,暂无数据,['暂无数据'],暂无数据,"趋势科技最近观察到一项主要针对南美地区金融机构和政府组织的恶意活动,特别是在哥伦比亚,攻击者使用的远程访问工具(RAT)。本文主要对本次活动进行详细分析，提供了观察到的活动、使用的远程访问工具（RAT）、活动的技术和程序，以及它的IOC。"
373,攻击模式分析报告 (48),SWEED组织：恶意软件Agent Tesla行为演变研究分析,2019/7/15,暂无数据,['暂无数据'],SWEED,我们最近发现了大量正在进行的恶意软件传播活动，这些活动与一个名为“SWEED”的组织有关，传播的恶意软件包括著名的恶意软件Formbook、Lokibot和Agent Tesla。根据我们的研究，SWEED组织至少从2017年就开始运作了，主要使用偷窃者和远程访问木马的方法攻击受害者。在这篇文章中，我们将追溯与SWEED相关的每个活动，并讨论一些参与者的策略，技术和程序（TTPs）。
374,攻击模式分析报告 (48),Buhtrap 黑客组织使用0day漏洞进行间谍行动,2019/7/11,暂无数据,"['跨站脚本攻击', '零日漏洞', 'APT攻击', 'DDOS攻击', '拒绝服务攻击', '水坑式攻击', '中间人攻击', '供应链攻击', '漏洞利用', '无文件攻击']",Buhtrap,Buhtrap黑客组织已将其目标从俄罗斯金融业务和机构转移。自2015年12月进行网络间谍活动以来，其影响最大的活动是在2019年6月期间使用了近期修补的Windows零日漏洞。Windows本地权限提升零日漏洞（CVE-2019-1132）被Buhtrap滥用于其攻击，它允许犯罪组织在内核模式下运行任意代码。微软在本月的补丁星期二修复了此漏洞。 尽管Buhtrap自2014年以来不断攻击银行客户，但它直到一年之后才被检测到。根据Group-IB和ESET研究人员的说法，它从2015年以后便开始寻找金融机构等更高级的目标。Group-IB报告称，“从2015年8月到2016年2月，Buhtrap成功对俄罗斯银行进行了13次攻击，总金额达18亿卢布（2570万美元）”。
375,攻击模式分析报告 (48),Sea turtle：持续采用新技术来攻击新的受害者,2019/7/9,暂无数据,"['流量劫持', 'DNS劫持', '鱼叉式网络钓鱼电子邮件', '钓鱼邮件', '水坑式攻击', '供应链攻击']",暂无数据,Sea Turtle攻击活动和其攻击者能力是非常强的，进行了为期2年的攻击活动而没有被发现。这也是第一起域名注册机构被黑并被用于网络监控活动的事件。研究人员分析发现至少有13个国家的40个组织受到影响。目前发现了一种新的DNS劫持技术，针对重要目标，攻击者破坏域名服务器记录并用伪造的A记录响应DNS请求。我们还发现了一批新的受害者，包括一个国家代码顶级域（CCTLD）注册中心，该注册中心的访问被用来危害其他政府实体。
376,攻击模式分析报告 (48),OilRig组织数据转储技术分析,2019/4/30,暂无数据,['暂无数据'],APT34OilRig,最近，声称为OilRig活动有关的数据转储被公布，Unit 42研究人员发现数据转储中包含的组件确实与已知的OilRigOilRig策略、技术和程序（TTP）一致。数据转储包括与OilRig组织相关联的两个后门BONDUPDATER以及Glimpse工具，Glimpse工具与研究人员在2018年9月发布的报告中发现的更新的BONDUPDATER工具有关。数据转储中的第二个后门名为Poison Frog，疑似用于中东目标攻击的BONDUPDATER的变种。转储中包含的三个webshell，分别名HyperShell、HighShell和Minion。Minion很可能是基于代码、文件名和功能重叠的HighShell变种。HyperShell和HighShell是TwoFace的变种，其中HyperShell与TwoFace加载器相关，而HighShell与TwoFace有效载荷相关。数据转储中还包括一个名为webmask的工具，该工具是专门用于执行DNS劫持的脚本。
377,攻击模式分析报告 (48),黑客组织Gamaredon攻击乌克兰军队和法律部门，更新其TTPs,2019/4/24,暂无数据,['暂无数据'],Gamaredon,Cybaze-Yoroi ZLAB研究人员发现，黑客组织Gamaredon继续攻击乌克兰目标，特别是军队和法律部门。这次发现的攻击样本会释放的自解压文件，包含一个假的PPT图标、定制的远控工具UltraVNC，而且带加密密码。同时，研究人员也发现了该黑客组织惯用的定制化木马Pterodo。
378,攻击模式分析报告 (48),蓝宝菇（APT-C-12）针对性攻击技术细节揭秘,2018/7/17,暂无数据,['暂无数据'],APT-C-12 蓝宝菇,360公司在2018年7月5日首次对外公开了一个从2011年开始持续近8年针对我国政府、军工、科研、金融等重点单位和部门进行网络间谍活动的高级攻击组织-蓝宝菇（APT-C-12），该组织的活动在近几个月内呈现非常活跃的状态。本文作为前期组织揭露报告的补充，详述蓝宝菇组织在近期攻击活动的技术细节，希望安全业界了解其攻击手法共同完善拼图，输出防御方案联合起来对抗这个国家级的威胁。
379,攻击模式分析报告 (48),MoneyTaker 近一年半的攻击活动,2017/12/20,暂无数据,"['漏洞利用', '水坑式攻击', '鱼叉式网络钓鱼电子邮件']",MoneyTaker,莫斯科的网络安全公司Group-IB于本周一发表了一份长达36页的报告，其间详细介绍了最新发现的一个名为“MoneyTaker”的黑客组织，该组织从2016年5月开始一直活跃至今。研究人员表示，在2016-2017年这过去18个月中，该黑客组织已经针对各种金融机构实施了多达20多起攻击活动——成功窃取了超过1100万美元的资金以及其他可用于进一步攻击的敏感文件。据悉，这些受到影响的金融机构和律师事务所主要分布在美国、英国以及俄罗斯。根据Group-IB安全公司介绍称，该黑客组织主要利用卡片处理系统（包括AWS CBR——俄罗斯银行同业系统，美国SWIFT国际银行信息服务系统）的漏洞针对金融机构发动一次又一次攻击活动。
380,攻击模式分析报告 (48),解密Patchwork间谍组织手段,2017/12/11,暂无数据,"['供应链攻击', '漏洞利用', '水坑式攻击', '鱼叉式网络钓鱼电子邮件']",PatchworkChinastrats,Patchwork又被称为Dropping Elephant，该组织以中国相关主题作为诱饵，比如中国南海问题，进而对目标的网络进行攻击。
381,攻击模式分析报告 (48),Charming Kitten：伊朗针对人权活动人士、学术研究人员和媒体转载的网络间谍行为—以及HBO黑客关联,2017/12/8,暂无数据,"['漏洞利用', '水坑式攻击', '鱼叉式网络钓鱼电子邮件']",NewsBeef,Charming Kitten是伊朗网络间谍组织，大约在2014年起开始活动。这份报告公开的是2016到2017年活跃的海量间谍机器。攻击者呈现的是冒充组织和个人群体、鱼叉和水坑攻击。本文将分析其利用、传送以及C2基础设施，并曝光DownPaper，一个由攻击者开发、至今未被存档的恶意软件。 本报告记录的事件仅为目标攻击事件的一小部分，波及数千人。我们公开了超过85个IP地址，240个恶意域名，数百个主机和多个虚假实体——其中大部分创建于2016-2017年。
382,攻击模式分析报告 (48),朝鲜利用比特币漏洞获利,2017/11/20,暂无数据,"['供应链攻击', '漏洞利用', '水坑式攻击', '鱼叉式网络钓鱼电子邮件']",Hidden CobraLazarus,Lazarus的攻击日趋以经济利益为目的，似乎正在通过加密货币日益增长的热潮和疯涨的价格获利。Proofpoint的研究人员已经发现了一些多级攻击，它们使用加密货币诱饵来使具有复杂后门和恶意监控软件的受害者感染。然后受害者感染的包括Gh0st RAT在内的其他恶意软件，窃取加密货币钱包和交易，使 Lazarus能够利用比特币和其他加密货币获利。在一系列的攻击中我们还发现，这似乎是第一个公开记录的一个针对盗窃信用卡数据的销售终端系统（POS）框架的国家—政府实例。而且，将攻击销售终端系统的时间安排在假日购物季时期，增大了潜在的经济损失。
383,攻击模式分析报告 (48),APT28将恶意软件嵌入到Doc文档中实施攻击,2017/11/7,暂无数据,"['供应链攻击', '漏洞利用', '水坑式攻击', '鱼叉式网络钓鱼电子邮件']",APT28SofacySednitAPT-C-20STRONTIUM奇幻熊Sofacy,McAfee高级威胁研究分析师发现了一个恶意的Word文档，该文档似乎利用了高级威胁研究先前报告的Microsoft Office动态数据交换（DDE）技术。本文件可能标志着APT28首次使用这种技术。使用带有PowerShell的DDE允许攻击者在受害者的系统上执行任意代码，而不管是否启用宏。
384,攻击模式分析报告 (48),ChessMaster的新战略：不断发展的工具和战术,2017/11/6,暂无数据,"['漏洞利用', '水坑式攻击', '鱼叉式网络钓鱼电子邮件']",ChessMaster,几周前，我们观察到ChessMaster的新活动，在初始攻击中没有出现的新工具和战术方面取得了显着进展。从我们所看到的情况来看，ChessMaster正在不断发展，使用开源工具和他们开发的工具，可能是一种匿名化运营的方式。
385,攻击模式分析报告 (48),BlackOasis组织利用 0day 漏洞的新目标攻击,2017/10/16,暂无数据,['漏洞利用'],BlackOasis,2017年10月10日，卡巴斯基实验室高级漏洞利用防御系统确认了一个新的 Adobe Flash 0day 漏洞，该漏洞利用通过 Microsoft Office 文档传送，最终 payload 是最新版本的 FinSpy 恶意软件。
386,攻击模式分析报告 (48),针对后苏联国家的银行攻击活动：混合网络犯罪研究,2017/10/10,暂无数据,['暂无数据'],暂无数据,今天我们发布了一份SpiderLabs高级威胁报告，其中详细介绍了针对主要位于后苏联国家的银行的主要网络攻击。所有攻击都有一个共同的概况，整个操作的精细调整显示了一种创新的窃取金钱的新技术。
387,攻击模式分析报告 (48),WhiteBear组织的攻击手法分析,2017/8/30,暂无数据,"['漏洞利用', '水坑式攻击', '鱼叉式网络钓鱼电子邮件']",WaterbugTurla,白象是一个来自于南亚地区的境外APT组织，组织主要针对中国、巴基斯坦等亚洲地区和国家的政府机构、科研教育领域进行攻击。部分基础设施和代码和蔓灵花、孔子重合，这几个组织间疑似有千丝万缕的关系。该组织在2018年同样多次对中国的多个目标进行了攻击活动。该组织同样使用鱼叉攻击，诱饵文档带有强烈的政治意味。
388,攻击模式分析报告 (48),俄罗斯银行办公室遭遇广泛的网络钓鱼浪潮,2017/8/17,暂无数据,['鱼叉式网络钓鱼电子邮件'],暂无数据,到目前为止，安全建议和报告中描述的大多数与银行相关的网络钓鱼活动都是由银行客户作为其在线凭据的目标。 针对银行本身的网络钓鱼活动更不常见。 也许欺诈者知道有比银行更多的银行客户，而且银行的安全态度通常比普通银行的客户更为强硬。
389,攻击模式分析报告 (48),Turla APT组织调整KopiLuwak后门，用于G20相关的攻击,2017/8/17,暂无数据,"['供应链攻击', '漏洞利用', '水坑式攻击', '鱼叉式网络钓鱼电子邮件']",WaterbugTurla,Proofpoint的研究人员最近在公开的恶意软件存放处中发现了这个植入程序，黑客透过鱼叉式钓鱼攻击置入武装过的附件，标题为『Save The Date』邀请10月的G20工作会议。 这个邀请其实是一个可执行文件程序信息档案（PIF），看起来像是一个PDF档，它包含一组用于传送KopiLuwak的指令。当受害者双击PDF图示后，PIF在背后传送后门时正常的打开PDF诱饵文件。一旦安装在系统上，KopiLuwak会让攻击者完全的控制它。
390,攻击模式分析报告 (48),远程机器人卷土重来:针对乌克兰的供应链攻击,2017/8/1,暂无数据,['暂无数据'],暂无数据,一个名为TeleBots的组织对乌克兰的多个电脑系统发动了网络攻击;可以定义为关键基础设施的系统。此外，该组织与臭名昭著的黑能源集团有联系，该集团对2015年12月乌克兰断电事件负有责任。
391,攻击模式分析报告 (48),ChessMaster采取行动：看看该运动的网络间谍武器库,2017/7/27,暂无数据,"['漏洞利用', '水坑式攻击', '鱼叉式网络钓鱼电子邮件']",ChessMaster,在本文中，我们分析了目前ChessMaster的状态，包括其武器库中更新的工具，特别关注了ANEL的演变以及如何在行动中使用。
392,攻击模式分析报告 (48),工业控制系统面临的新威胁,2017/6/12,暂无数据,['漏洞利用'],暂无数据,"ESET 公布一款针对电力变电站系统进行恶意攻击的工控网络攻击武器 -win32/Industroyer (ESET命名), ESET 表示该攻击武器可以直接控制断路器，可导致变电站断电。 Industroyer 恶意软件目前支持四种工控协议：IEC 60870-5-101、IEC 60870-5-104、IEC 61850以及OLE for Process Control Data Access（简称OPC DA）。这些协议广泛应用在电力调度、发电控制系统以及需要对电力进行控制行业，例如轨道交通、石油石化等重要基础设施行业，尤其是 OPC 协议作为工控系统互通的通用接口更广泛应用在各工控行业。 与2015年袭击乌克兰电网最终导致2015年12月23日断电的攻击者使用的工具集（BlackEnergy、KillDisk、以及其他攻击模块）相比，这款恶意软件的功能意义重大，它可以直接控制开关和断路器，Industroyer 身后的黑客团队无论从技术角度还是从对目标工控系统的研究深度都远远超过了2015年12月乌克兰电网攻击背后的黑客团队。"
393,工具分析报告 (24),瑞士军刀级恶意软件，可利用RDP协议，投递多种勒索软件、矿工和木马,2019/12/18,暂无数据,['暂无数据'],暂无数据,Bitdefender研究人员最近发现恶意攻击者可通过滥用RDP服务中的一项合法功能，作为无文件攻击手段，植入用于设备指纹识别的工具和各种恶意软件有效载荷，范围从勒索软件和加密货币矿工到信息窃取。攻击媒介为Windows远程桌面服务器。 RDP客户端能够在其计算机上共享驱动盘符，该驱动盘符充当本地虚拟网络上的资源。 攻击者能够将共享目录用作基于RDP协议的数据渗透机制。 通过使用位于“ tsclient1”（终端服务器客户端）网络位置的现成组件，攻击者可以使用“ explorer.exe”或“ cmd.exe”执行该组件，并使用其下载其他恶意软件。恶意软件中的“ worker.exe”组件提供了广泛的功能，主要用于数据收集。 它的功能范围从收集系统信息（例如，体系结构，CPU模型和核数，RAM大小，Windows版本等）到截图，收集受害者的IP地址和域名，提取有关默认浏览器和特定开放端口的信息，而且带有反侦查和逃避检测命令。该恶意软件包已被检测到可能与一个或多个网络罪犯团伙相关联，提供至少三个不同版本的剪贴板式窃取程序，勒索软件（Rapid Ransomware和Nemty勒索软件），Monero加密货币矿工和 一种非常流行的特洛伊木马程序（AZORult）。
394,工具分析报告 (24),大规模GhostDNS攻击活动再现巴西,2019/12/5,暂无数据,['暂无数据'],暂无数据,"GhostDNS，是由复杂的攻击脚本组合而成的漏洞利用攻击套件。这些脚本会劫持路由器设置，用其它 DNS 服务顶替，然后将流量引导至“克隆”后的大型在线服务提供商的登陆页面。当访问受感染的站点时，受害者会在不知不觉中被重定向到路由器攻击工具包登录页面，该页面通常在新窗口或新标签页中打开，无需用户干预即可自动发起对路由器的攻击。 然后，漏洞利用工具包尝试在网络上找到路由器IP，然后进行暴力破解。攻击者成功登录路由器后，漏洞利用工具包将尝试使用各种CSRF请求更改路由器的DNS设置，将受害者的请求发送到旨在看起来像受害者想要访问的实际网站的钓鱼页面。 网上银行网站和Netflix之类的网站经常受到DNS劫持攻击，因为攻击者可以轻松窃取有价值的登录凭据。 2019年11月25日，安全公司Avast在巴西检测到的攻击活动相关的URL数量达到近5,500，第二天超过1,000，总共发现了对恶意URL7,500次访问请求。每个GhostDNS登录页面（在这里是针对巴西的银行和Netflix用户的钓鱼页面）都包含相同的bit.ly链接，据统计总点击次数接近223,000。"
395,工具分析报告 (24),KurdishCoder活动使用多种混淆工具，针对区块链行业,2019/12/4,暂无数据,['暂无数据'],暂无数据,2019年11月，传播Capesand漏洞利用工具包的活动被揭露，该工具包利用Adobe Flash和Microsoft Internet Explorer中的最新漏洞，同时具有强大的混淆功能，使其释放的样本几乎很难被检测到。其中一个部署njRat恶意软件的样本，其主要可执行文件NotepadEx同时使用了混淆工具ConfuserEx和Cassandra (CyaX)。恶意负载经过CyaX混淆后再通过定制版本的ConfuserEx混淆，使恶意软件几乎完全不能被检测到。ConfuserEx是一个开源工具，在Github上托管了多个版本，研究人员认为定制版本的ConfuserEx来源之一可能是在线服务Cassandra Crypter，该服务提供自定义版本工具。研究人员将使用这种混淆方式的活动命名为KurdishCoder活动。
396,工具分析报告 (24),Imminent Monitor远程访问木马（IM-RAT）调查报告,2019/12/2,暂无数据,['暂无数据'],暂无数据,"由澳大利亚联邦警局牵头，自2017年开始的一项针对利用Imminent Monitor远程访问特洛伊木马（IM-RAT）进行黑客攻击的长期调查，在2019年11月30日有了正式调查结果，控制服务器已被接管，无法产生新的客户端，该工具已不再提供远控服务，其维护的网络也被执法部门接管。 IM-RAT在黑客工具贩卖网站进行广告宣传，正式售价低至25美元，并且几乎不需要任何技术知识就可部署。 监控显示，自2012年起，IM-RAT至少在115,000次单独攻击中被使用。在执法机构授权后，研究人员发现：2012年，开发人员“ Shockwave™”注册了域imminentmethods.info信息，并于2013年4月开始在在线论坛和他的网站上出售其“ Imminent Monitor” RAT，后来该站点改为imminentmethods.net。 2014年，Imminent Monitor开始支持第三方插件。 其中一个提供了在监视时关闭网络摄像头灯的功能。 较新的版本提供了“ HRDP”（隐藏的远程桌面协议），它提供了对受害者隐藏的非交互式远程桌面连接。第3版引入了在受害机器上运行加密货币矿工的功能。"
397,工具分析报告 (24),Trickbot更新密码收集器模块，针对OpenSSH和OpenVPN,2019/11/22,暂无数据,['暂无数据'],暂无数据,国外研究人员发现Trickbot更新密码收集器模块，在模块中添加了窃取OpenSSH私钥以及OpenVPN密码和配置文件功能。Trickbot的密码收集器模块(pwgrab64)，会检索存储在受害者浏览器缓存中的登录凭据，并且还从其他应用程序窃取登录凭据。窃取的信息使用未加密的HTTP协议，通过TCP端口8082发送到Trickbot使用的C2地址。研究人员发现，在最近的检测中，Trickbot使用HTTP POST请求将OpenSSH私钥以及OpenVPN密码和配置文件发送到其命令和控制服务器，但是相关字段并没有实际数据，这表明该功能可能还处于测试阶段。
398,工具分析报告 (24),APT组织Platinum仍然活跃，更新两种后门工具,2019/11/11,暂无数据,['暂无数据'],TwoForOnePlatinum,卡巴斯基实验室人员发布分析报告称2018年7月针对东南亚国家，外交、政府和军事实体的攻击活动EasternRoppels可能与APT组织Platinum有关。其攻击工具的特点是多阶段执行，利用新的隐写术来隐藏通信过程。这次更新的TTPs是Steganography后门和在它基础上改进的P2P后门。
399,工具分析报告 (24),新漏洞利用工具包Capesand，假冒区块链博客网站分发恶意负载,2019/11/6,暂无数据,['暂无数据'],暂无数据,趋势科技在2019年10月发现一个名为Capesand的新漏洞利用工具包，该工具包尝试利用Adobe Flash和Microsoft Internet Explorer中的最新漏洞。观察到的恶意活动伪装成区块链博客网站，其中包含用于加载漏洞利用工具包的隐藏iframe，该活动还指向过Rig攻击工具包。Capesand的漏洞利用负载并不包含在其源码中，而是需要时向Capesand服务器API发送请求获取。请求中包括要求的漏洞利用名称、受害者的IP地址、浏览器用户代理等信息。Capesand成功利用后，第一阶段将下载mess.exe并尝试利用CVE-2018-8120升级特权，然后执行njcrypt.exe，提供的有效负载包括njRAT。Capesand的几乎所有功能都重用开源代码，该工具目前还在积极开发中。
400,工具分析报告 (24),神秘APT框架DarkUniverse被曝光，使用鱼叉式钓鱼进行窃密活动,2019/11/6,暂无数据,[],暂无数据,卡巴斯基最近揭露了神秘APT组织框架DarkUniverse的一系列活动，该组织从2009年到2017年一直活跃，这些活动与ItaDuke系列活动存在代码重叠。攻击者主要采用鱼叉式钓鱼手法，向目标发送带有恶意Microsoft Office文档的信函，2018年的攻击活动中大约有20名受害者，受害者包括平民组织和军事组织，分别位于叙利亚，伊朗，阿富汗，坦桑尼亚，埃塞俄比亚，苏丹，俄罗斯，白俄罗斯和阿拉伯联合酋长国。恶意样本在发送之前立即编译，2017年使用的最新样本中包括updater.mod和提供键盘记录功能的gum30.dll文件。updater.mod模块负责连接到C2并下载其他恶意软件模块，包括dfrgntfs5.sqt–用于执行来自C2的命令的模块，msvcrt58.sqt–窃取邮件凭据和电子邮件的模块等，所有的恶意软件模块均使用自定义算法加密。恶意软件配置存储在注册表中的SOFTWARE\AppDataLow\GUI\LegacyP中，其中包括C2账户凭据等信息。
401,工具分析报告 (24),恶意工具China Chopper依旧活跃,2019/8/27,暂无数据,"['Hadoop', '恶意扫描', '恶意无线网络', '权限', '恶意代码', '木马后门', '拒绝服务攻击', '远控木马', '漏洞利用', 'PostgreSQL', '恶意邮件', '鱼叉式网络钓鱼电子邮件', 'DDOS攻击', 'RCEyxel', '特权', '病毒', '钓鱼网站', '远程控制', '水坑式攻击', '战略网络妥协', 'SaltStack', '窃听', '间谍软件', '垃圾邮件', 'Derusbi', '代码执行', '远程命令执行', '注入', '间谍活动', 'cgi', '伪造证书', '诱饵文件', '供应链攻击', '网站篡改', '伪造程序', 'P2P种子陷阱', 'Shiro', 'RedisHadoop', '网络间谍', '恶意脚本', '木马病毒', 'C&C', '密码爆破', '传播', '提升权限', 'DNS劫持', '网络流量受损', '钓鱼邮件', '暂无数据', '未授权命令执行', 'Miniduke', '流量劫持', '文件篡改', '中间人攻击', '无文件攻击', '跨站脚本攻击', '零日漏洞', 'APT攻击', 'SQL注入', '僵尸网络', '陷阱', 'keyPath', '伪装', 'ThinkPHP', '绕过服务', '虚假博客网站', '恶意软件', '凭证盗取', '勒索软件', '监听', '0day', 'RCERedis', '盗取证书', 'Cereals', '社会工程学', '挖矿', '自定义有效负载', '窃取密码', 'DDoS']",暂无数据,"China Chopper是一个webshell工具，用于保留对受感染系统的访问权限。过去两年中，该工具被发现在几个攻击活动中使用。其中，在一起针对亚洲政府组织的恶意活动中，该工具被安装在目标内部网络存储机密文档的web服务器上，攻击者的目的是获取文档和数据库副本。另一个针对黎巴嫩的恶意活动中，攻击者使用China Chopper在目标服务器上部署勒索软件，包括Sodinokibi勒索软件和Gandcrab勒索软件。在一个针对亚洲网络托管服务商的攻击中，China Chopper被用于下载和执行漏洞(CVE-2015-0062,CVE-2015-1701,CVE-2016-0099)利用文件。"
402,工具分析报告 (24),Gorgon黑客组织再显新招：通过在线网盘发起“三重奏”攻击,2019/7/25,暂无数据,"['漏洞利用', '木马后门']",,近日，奇安信威胁情报中心红雨滴团队在日常的样本监控过程中，发现了一个以微软名称命名的攻击文档，并在随后的关联分析中发现，此次攻击活动疑似来自一个名为Gorgon的攻击组织，而Gorgon是一个被认为来自南亚某国家的攻击组织，PAN公司的Unit42团队将该攻击活动命名为Aggah。 本次活动中涉及的样本，除了使用该活动的招牌手段：Blogspot博客页面隐藏恶意载荷之外，还使用了__三__层Pastbin嵌套的方式获取最终的载荷。
403,工具分析报告 (24),Monokle:移动监测工具的特殊技术中心,2019/7/25,暂无数据,"['僵尸网络', '战略网络妥协', '鱼叉式网络钓鱼电子邮件', '网络流量受损', '木马后门', '监听', '网络间谍', '恶意无线网络']",暂无数据,"Lookout研究人员在2018年发现安卓监控软件Monokle，并且发现该工具在有针对性的活动使用, 该工具由俄罗斯圣彼得堡的特殊技术中心有限公司（STC）开发。该工具滥用Android辅助功能服务获取来自第三方应用程序的数据，使用预测文本词典来了解目标感兴趣的主题。"
404,工具分析报告 (24),ABADBABE 8BADF00D:发现BADHATCH并详细查看FIN8的工具,2019/7/23,暂无数据,"['漏洞利用', '鱼叉式网络钓鱼电子邮件', '木马后门']",FIN8,最近，Gigamon ATR研究人员揭露了FIN8组织使用的新反向shell，并将其命名为“BADHATCH”。恶意软件通过WMIC命令启动，使用0xABADBABE 0x8BADF00D常量定位嵌入式DLL，嵌入式DLL通过APC注入svchost.exe进程，或者注入explorer.exe进程。在启动后，每隔5分钟，样本会使用TLS加密连接到硬编码的命令和控制(C2) 服务器IP，发送从多个系统配置细节派生的主机标识字符串，格式为%08X-%08X-%08X-%08X-%08X-SH。但是目前并未观察到该工具的传播方式以及其维护持久性和反病毒检测功能。
405,工具分析报告 (24),WatchBog:新的BlueKeep扫描器和Linux漏洞,2019/7/22,暂无数据,"['漏洞利用', '木马后门']",暂无数据,研究人员发现一个新版本的WatchBog样本，该版本包含BlueKeep RDP协议漏洞(CVE - 2019-0708)扫描器模块，允许攻击者通过易受攻击的系统获得RCE，目前没有已知的公共PoC可用于利用此漏洞，但是攻击者已经开始准备易受攻击系统列表。扫描器来自Github上zerosum0x0扫描程序的python端口，将尝试从CNC提供的IP列表中找到易受攻击的RDP服务器，RDP的默认Windows服务端口是TCP 3389。
406,工具分析报告 (24),垃圾邮件运动针对哥伦比亚实体定制的‘Proyecto RAT’，为C&amp;C使用YOPmail电子邮件服务,2019/7/18,暂无数据,['暂无数据'],暂无数据,"趋势科技最近观察到一项主要针对南美地区金融机构和政府组织的恶意活动,特别是在哥伦比亚,攻击者使用的远程访问工具(RAT)。本文主要对本次活动进行详细分析，提供了观察到的活动、使用的远程访问工具（RAT）、活动的技术和程序，以及它的IOC。"
407,工具分析报告 (24),McAfee ATR帮助警方逮捕了Rubella和Dryad Office Macro Builder嫌疑人,2019/7/16,暂无数据,['暂无数据'],暂无数据,荷兰国家高科技犯罪部门（NHTCU）逮捕了一名涉嫌制作Rubella Macro Builder犯罪工具包的人。本文对样本Rubella Macro Builder进行了分析。
408,工具分析报告 (24),间谍组织APT3利用方程式组织工具进行攻击，在Equation Group工具集被泄露之前,2019/5/7,暂无数据,['暂无数据'],方程式Equation Group,Buckeye网络间谍组织（又名APT3，Gothic Panda）自2009年以来一直活跃，当年它曾发起一系列间谍攻击，主要针对美国的组织。该组织曾在2010年和2014的攻击中使用过零日漏洞CVE-2010-3962，在2016年的攻击中，发现Windows零日漏洞被Buckeye和Equation Group工具一起利用。但是在2017年以后，Buckeye组织不再使用方程式的工具集。同时在2017年，一个自称为影子经纪人（Shadow Brokers）的神秘团体泄漏了方程式（Equation Group）组织的工具，此次事件造成了近年来最重要的网络安全故事，因为Equation Group被认为是技术上最熟练的间谍组织之一，其工具的发布产生了重大影响，其中一个重要工具，即EternalBlue漏洞，对2017年5月WannaCry勒索软件的爆发产生了破坏性的影响。但是有意思的是Buckeye组织使用Equation Group的工具集是在Shadow Brokers泄漏前至少一年的时间。
409,工具分析报告 (24),Equation Group组织工具IOC,2017/12/18,暂无数据,['暂无数据'],方程式Equation Group,Equation Group被卡巴斯基认为是目前世界上存在的最复杂的网络攻击组织。该组织使用的C&amp;C早在1996年就被注册，这暗示了该组织可能已经活跃了20年之久。多年以来，他们因总能比其他组织早发现漏洞，从而具有绝对的优势，涉及的行业包括政府和外交机构、电信、航天、能源、核研究、军事、纳米技术、宗教活动家、媒体、运输业、金融行业等。该组织拥有一套用于植入恶意代码的超级制式信息武器库（在友商报告中披露了其中6个），其中包括两个可以对数十种常见品牌的硬盘固件重编程的恶意模块，这可能是该组织掌握的最具特色的攻击武器，同时也是首个已知的能够感染硬盘固件的恶意代码。
410,工具分析报告 (24),,2017/12/11,暂无数据,"['供应链攻击', '漏洞利用', '水坑式攻击', '鱼叉式网络钓鱼电子邮件']",PatchworkChinastrats,Patchwork又被称为Dropping Elephant，该组织以中国相关主题作为诱饵，比如中国南海问题，进而对目标的网络进行攻击。
