,国家,报告标题,披露时间,披露机构,攻击方法,组织别名,报告摘要
431,以色列 (6),Gaza Cybergang Group1发起窃密攻击活动，针对大使馆及政治人员,2019/4/10,Kaspersky,['暂无数据'],,Gaza Cybergang是2018年监测到的出于政治动机阿拉伯APT组织，攻击范围主要包括中东和北非地区。研究人员将Gaza内部分为三个攻击小组，Gaza Cybergang Group1（低成本低复杂水平）也称为MoleRATs；Gaza Cybergang Group2（中等复杂水平）与组织Desert Falcons存在关联；Gaza Cybergang Group3（最高复杂水平），之前活动名称为Operation Parliament。研究人员此次对Gaza Cybergang Group1进行了分析，并将其运动称为SneakyPastes。新攻击活动主要针对与巴勒斯坦相关的大使馆和政治人员，采用网络杀伤链的入侵模式。初始交互使用临时域名和电子邮件的网络钓鱼邮件，其携带的RAR文件将下载第一阶段恶意软件，即利用PowerShell、VBS、JS和dotnet的植入程序，然后与C2通信下载RAT（Razy/NeD worm/Wonder Botnet），所有阶段的可执行文件都作为链创建，以避免检测和保护C2服务器，且针对不同阶段的攻击C2托管在各种免费网站上。分析显示目前有超过240名受害者，其分布在39个国家，主要存在巴勒斯坦、约旦、以色列、黎巴嫩的多个实体，包括大使馆、政府实体、教育、媒体机构、记者、活动家、政党或人员、医疗保健和银行业。
432,以色列 (6),Charming Kitten：伊朗针对人权活动人士、学术研究人员和媒体转载的网络间谍行为—以及HBO黑客关联,2017/12/8,Clearsky,"['后门木马', '鱼叉', '式', '钓鱼攻击', '漏洞利用', '水坑攻击']",NewsBeef,Charming Kitten是伊朗网络间谍组织，大约在2014年起开始活动。这份报告公开的是2016到2017年活跃的海量间谍机器。攻击者呈现的是冒充组织和个人群体、鱼叉和水坑攻击。本文将分析其利用、传送以及C2基础设施，并曝光DownPaper，一个由攻击者开发、至今未被存档的恶意软件。 本报告记录的事件仅为目标攻击事件的一小部分，波及数千人。我们公开了超过85个IP地址，240个恶意域名，数百个主机和多个虚假实体——其中大部分创建于2016-2017年。
433,以色列 (6),解析2017年APT组织Gaza Cybergang最新动向,2017/10/30,Kaspersky,"['后门木马', '社会工程', '鱼叉', '式', '钓鱼攻击', '漏洞利用', '水坑攻击']",Gaza Cybergang,2017年，卡巴斯基发现一个关于Gaza Cybergang间谍组织的有趣的新情况，该组织针对MENS的一个石油和天然气组织进行攻击，渗透目标的系统并窃取数据，攻击时长超过一年。 此外，还检测到Gaza Cybergang间谍组织最近开始利用CVE 2017-0199漏洞，下载脚本被嵌入到MS Access文件中以降低其被检测到的可能性。从 2017年4月下旬开始出现了使用移动端恶意软件的痕迹。 Gaza Cybergang组织展示了其发起大量攻击和利用先进的社会工程学的能力，除了积极开发攻击活动、基础设施以及应用新技术、新方法之外，攻击者还努力的改进其工具包，确保尽量躲避掉安全产品和服务的检测。预计短期内这类攻击活动还会加剧，无论是在质量上还是数量上。
434,以色列 (6),Wilted Tulip攻击行动揭露网络间谍工具,2017/7/25,Clearsky,"['后门木马', '鱼叉', '式', '钓鱼攻击', '漏洞利用', '供应链攻击', '水坑攻击']",CopyKittens,以色列ClearSky网络安全公司与Trend Micro公司联合发布的报告表示与伊朗有所关联的网络间谍组织复制猫自2013年以来仍然设法从以色列、土耳其、沙特阿拉伯、约旦乃至美国的军方及政府机构、学术组织、市政当局以及IT企业当中成功窃取到大量数据。在过去几年当中，“复制猫”曾经先后使用数十个域名，其中大部分假冒微软、谷歌、Amazon、Facebook以及甲骨文等企业，旨在进行恶意软件交付、托管恶意站点以及进行命令与控制操作等。尽管显然存在资源受限问题，但“复制猫”还是设法入侵了一部分在线新闻媒体与普通网站，而后利用其实施水坑式攻击。
435,东亚 (6),BendyBear：新颖的中文Shellcode与网络间谍组织BlackTech相关联,2021/2/9,unit 42,"['恶意软件', '远程控制']",BlackTech黑凤梨 T-APT-03,"高度可扩展，高度复杂的机器代码超过10,000个字节。这是第42单元的研究人员在文件“熊”的代码分析期间遇到的。该代码的行为和功能与WaterBear恶意软件家族（自2009年以来一直活跃）密切相关。趋势科技和TeamT5的分析表明，WaterBear是一种多方面的，第二阶段的植入程序，能够进行文件传输，shell访问，屏幕截图等等。该恶意软件与网络间谍组织BlackTech相关联广泛的威胁研究社区中的许多人都认为该组织与中国政府有联系，据信这是对近期袭击多个东亚政府组织的事件造成的。由于与WaterBear的相似性以及代码的多态性，第42单元将这种新颖的中文shellcode命名为“ BendyBear”。它是高级持久威胁（APT）所使用的最复杂，设计最完善且难以检测的shellcode样本之一，因此具有自己的特色。"
436,东亚 (6),海莲花APT组织最新样本分析,2020/6/17,Malwarebytes LABS,"['社会工程学', '鱼叉', '攻击', '木马后门', '水坑攻击']",APT32APT32海莲花APT-C-00Ocean LotusCobalt KittySeaLotus,OceanLotus(海莲花)APT组织是一个长期针对中国及其他东亚、东南亚国家(地区)政府、科研机构、海运企业等领域进行攻击的APT组织，该组织也是针对中国境内的最活跃的APT组织之一，该组织主要通过鱼叉攻击和水坑攻击等方法，配合多种社会工程学手段进行渗透，向境内特定目标人群传播特种木马程序，秘密控制部分政府人员、外包商和行业专家的电脑系统，窃取系统中相关领域的机密资料，通过追踪它这些年的攻击手法和攻击目标，OceanLotus很有可能是具有国外政府支持背景的、高度组织化的、专业化的境外国家级黑客组织 初期的OceanLotus特种木马技术并不复杂，容易发现和查杀，2014年OceanLotus特种木马开始采用包括文件伪装、随机加密和自我销毁等一系列复杂的攻击技术与安全软件进行对抗，随后OceanLotus特种木马又开始转向云控技术，攻击的危险性、不确定性与木马识别查杀的难度都大大增强 OceanLotus(海莲花) APT组织擅长使用鱼叉攻击和水坑攻击，NSA武器库曝光后，还使用了永恒系列漏洞进行攻击，投递的攻击武器种类比较多，RTA包括：Denis、CobaltStrike、PHOREAL、salgorea、类gh0st、Ratsnif等。
437,东亚 (6),BlackTech组织使用IconDown恶意软件对日本的攻击,2019/11/21,jpcert,['暂无数据'],BlackTech黑凤梨 T-APT-03,BlackTech使用各种类型的恶意软件对日本进行攻击，近期发现该组织利用IconDown恶意软件，该恶意软件通过ASUS WebStorage的更新功能进行传播。
438,东亚 (6),SectorJ04组织上半年活动分析报告,2019/8/29,THREATRECON,"['漏洞', '攻击', '木马后门', '网络钓鱼']",TA505,NSHC RedAlert Labs的ThreatRecon团队发布SectorJ04（又名TA505）组织2019年上半年活动分析报告。SectorJ04为俄罗斯网络犯罪组织，大约2014年开始运营，并利用针对欧洲、北美和西非国家和工业部门的恶意软件进行黑客活动以获取经济利益。2019年上半年，该组织活动明显增多，主要表现为以下三点：第一增加针对东亚和东南亚的黑客活动，包括韩国、中国、中国台湾和菲律宾等；第二垃圾邮件格式和黑客方法的变化，利用各种语言编写的垃圾邮件，包括英语、阿拉伯语、韩语和意大利语，使用多种内容主题的电子邮件，包括汇款卡、发票和税务发票。开始使用HTML文件作为附件或者文本中包含链接下载恶意文档，除了ServHelper和FlawedAmmy之外，还使用AdroMut和FlowerPippi后门；第三从特定组织和行业到随机目标，使其能够扩大活动的目标范围以获取经济利益。
439,东亚 (6),BlackTech网络间谍组织活动分析,2017/6/22,TrendMicro,"['后门木马', '鱼叉', '式', '钓鱼攻击', '漏洞利用']",BlackTech黑凤梨 T-APT-03,"BlackTech是一个网络间谍组织，以东亚，特别是台湾，有时甚至还包括日本和香港的目标为主。根据其一些C＆C服务器的互斥和域名，BlackTech的攻击活动可能旨在窃取其攻击目标的技术。趋势科技的研究人员已经把近些年来看似不相关的三个网络攻击活动PLEAD, Shrouded Crossbow和Waterbear联系在了一起。研究人员分析了这几种攻击过程的方式，并解析了它们的使用工具，最终发现了共同点，也就是说PLEAD, Shrouded Crossbow和Waterbear实际上是由同一个组织操作的。"
440,东亚 (6),网络间谍活动依然活跃:APT32和对全球企业的威胁,2017/5/14,FireEye,"['社会工程学', '钓鱼邮件']",APT32APT32海莲花APT-C-00Ocean LotusCobalt KittySeaLotus,APT32组织（海莲花组织，OceanLotus Group）正在对横跨多个行业的企业展开入侵活动，同时他们也将外国政府、政客人士以及记者当作攻击目标。FireEye经过分析研究，认为APT32在攻击活动中使用了一个独特的全功能版的恶意软件工具集以及公开的商业工具，所涉及的网络攻击活动都与越南的国家利益相符合。
441,黎巴嫩 (5),Karkoff 2020：一项新的APT34间谍活动涉及黎巴嫩政府,2020/3/2,YOROI,['恶意软件'],APT34OilRig,Cybaze/ Yoroi Zlab的专家发现了APT34组织的一个新样本，分析发现该活动使用新版本Karkoff植入工具针对黎巴嫩政府。新版本Karkoff与旧版本具有相似的宏结构和类似逻辑的.NET模块化植入工具，且都利用Microsoft Exchange Server作为通信渠道，专家表示APT34可能入侵了属于黎巴嫩政府实体的Microsoft Exchange Server。此外，新版本Karkoff实现了新的侦察逻辑，以便仅将最终的有效载荷分配到特定目标，收集系统信息、域名、主机名和正在运行的操作系统。
442,黎巴嫩 (5),JhoneRAT：针对中东国家的基于云的python远控木马,2020/1/16,Cisco,['暂无数据'],暂无数据,"思科Talos实验室发现一种新的远控木马，被称为""JhoneRAT""。该木马通过恶意Microsoft Office文档传播，文档包含CVE-2017-0199漏洞利用代码，用于下载和执行Google云端硬盘上的三个不同的模板，然后下载的恶意宏模板再从其他云盘下载有效负载，包括JhoneRAT。JhoneRAT通过检查被感染系统的键盘布局筛选目标，包括沙特阿拉伯、伊拉克、埃及、利比亚、阿尔及利亚、摩洛哥、突尼斯、阿曼、也门、叙利亚、阿联酋、科威特、巴林和黎巴嫩。其使用三种不同的云服务来进行C2活动，使用BeautifulSoup HTML解析器每10秒检查一次@ jhone87438316(已被Twitter关闭)句柄中的推文中是否有新命令，这些命令可以根据UID信息发送给特定的受害者。JhoneRAT木马具备的功能包括：截屏功能，并将结果上传到ImgBB；从Google云端硬盘下载伪装成图片的二进制文件并执行；执行命令并将输出发送到Google Forms。攻击者通过检查磁盘序列号和删除Python字节码标头来反虚拟机、反反编译器。该活动从2019年11月开始，目前仍在进行中。"
443,黎巴嫩 (5),恶意工具China Chopper依旧活跃,2019/8/27,Cisco,"['木马后门', ',', '勒索软件']",暂无数据,"China Chopper是一个webshell工具，用于保留对受感染系统的访问权限。过去两年中，该工具被发现在几个攻击活动中使用。其中，在一起针对亚洲政府组织的恶意活动中，该工具被安装在目标内部网络存储机密文档的web服务器上，攻击者的目的是获取文档和数据库副本。另一个针对黎巴嫩的恶意活动中，攻击者使用China Chopper在目标服务器上部署勒索软件，包括Sodinokibi勒索软件和Gandcrab勒索软件。在一个针对亚洲网络托管服务商的攻击中，China Chopper被用于下载和执行漏洞(CVE-2015-0062,CVE-2015-1701,CVE-2016-0099)利用文件。"
444,黎巴嫩 (5),Gaza Cybergang Group1发起窃密攻击活动，针对大使馆及政治人员,2019/4/10,Kaspersky,['暂无数据'],,Gaza Cybergang是2018年监测到的出于政治动机阿拉伯APT组织，攻击范围主要包括中东和北非地区。研究人员将Gaza内部分为三个攻击小组，Gaza Cybergang Group1（低成本低复杂水平）也称为MoleRATs；Gaza Cybergang Group2（中等复杂水平）与组织Desert Falcons存在关联；Gaza Cybergang Group3（最高复杂水平），之前活动名称为Operation Parliament。研究人员此次对Gaza Cybergang Group1进行了分析，并将其运动称为SneakyPastes。新攻击活动主要针对与巴勒斯坦相关的大使馆和政治人员，采用网络杀伤链的入侵模式。初始交互使用临时域名和电子邮件的网络钓鱼邮件，其携带的RAR文件将下载第一阶段恶意软件，即利用PowerShell、VBS、JS和dotnet的植入程序，然后与C2通信下载RAT（Razy/NeD worm/Wonder Botnet），所有阶段的可执行文件都作为链创建，以避免检测和保护C2服务器，且针对不同阶段的攻击C2托管在各种免费网站上。分析显示目前有超过240名受害者，其分布在39个国家，主要存在巴勒斯坦、约旦、以色列、黎巴嫩的多个实体，包括大使馆、政府实体、教育、媒体机构、记者、活动家、政党或人员、医疗保健和银行业。
445,黎巴嫩 (5),解析2017年APT组织Gaza Cybergang最新动向,2017/10/30,Kaspersky,"['后门木马', '社会工程', '鱼叉', '式', '钓鱼攻击', '漏洞利用', '水坑攻击']",Gaza Cybergang,2017年，卡巴斯基发现一个关于Gaza Cybergang间谍组织的有趣的新情况，该组织针对MENS的一个石油和天然气组织进行攻击，渗透目标的系统并窃取数据，攻击时长超过一年。 此外，还检测到Gaza Cybergang间谍组织最近开始利用CVE 2017-0199漏洞，下载脚本被嵌入到MS Access文件中以降低其被检测到的可能性。从 2017年4月下旬开始出现了使用移动端恶意软件的痕迹。 Gaza Cybergang组织展示了其发起大量攻击和利用先进的社会工程学的能力，除了积极开发攻击活动、基础设施以及应用新技术、新方法之外，攻击者还努力的改进其工具包，确保尽量躲避掉安全产品和服务的检测。预计短期内这类攻击活动还会加剧，无论是在质量上还是数量上。
446,科威特 (5),Seedworm疑似使用PowGoop工具攻击多国组织,2020/10/21,Symantec,['暂无数据'],MuddyWater,赛门铁克研究人员披露与伊朗有关联的间谍组织Seedworm（又名MuddyWater）最近几个月非常活跃，针对伊拉克、土耳其、科威特、阿拉伯联合酋长国和乔治亚州的目标进行了攻击，具体包括政府实体、电信和计算机服务部门。Seedworm疑似使用最近被发现的PowGoop工具攻击多目标组织。研究人员在Seedworm攻击的同一台机器上，发现被部署了一个称为PowGoop的工具。并且近期数个受Seedworm攻击的组织也被部署了该工具。但是，目前研究人员仅能在PowGoop和Seedworm之间建立中等信任的关联关系。
447,科威特 (5),与伊朗有联系的组织继续以中东地区的组织为目标,2020/10/21,Symantec,['恶意软件'],MuddyWater,黑客组织Seedworm（又名MuddyWater）在最近几个月一直非常活跃，攻击了很多目标，包括伊拉克，土耳其，科威特，阿拉伯联合酋长国和格鲁吉亚。除了政府实体，电信和计算机服务部门的组织也成为目标。 活动期间，攻击者执行凭证窃取活动，并使用称为Secure Sockets Funneling（SSF）和Chisel的开源工具来建立通往其自身基础结构的隧道，使攻击者可以配置本地和远程端口转发，以及将文件复制到受感染的计算机，进行横向移动。
448,科威特 (5),伊朗APT组织Chafer攻击中东航空运输和政府,2020/5/21,Bitdefender,"['鱼叉', '式', '钓鱼邮件']",,Bitdefender披露伊朗APT组织Chafer针对科威特和沙特阿拉伯的航空运输和政府的攻击活动。攻击者在周末进行攻击，该活动可能持续了超过一年半的时间。在针对科威特的活动中，研究人员猜测攻击者可能通过鱼叉式钓鱼邮件，利用带有shellcode的武器化文档感染受害者。入侵后，攻击者使用侦察工具进行网络扫描和凭据收集或者使用多功能工具CrackMapExec，以横向移动。最后将作为服务安装Plink变种及后门。攻击者还在受感染计算机上创建了用户帐户，并在网络内执行了一些恶意操作。在针对沙特阿拉伯的活动中，研究人员猜测初始感染通过社会工程学实现，使用多种工具进行内部网络侦察，最终释放远控木马到%Download%文件夹。两个攻击的最终目标均为探索数据和窃取数据。
449,科威特 (5),JhoneRAT：针对中东国家的基于云的python远控木马,2020/1/16,Cisco,['暂无数据'],暂无数据,"思科Talos实验室发现一种新的远控木马，被称为""JhoneRAT""。该木马通过恶意Microsoft Office文档传播，文档包含CVE-2017-0199漏洞利用代码，用于下载和执行Google云端硬盘上的三个不同的模板，然后下载的恶意宏模板再从其他云盘下载有效负载，包括JhoneRAT。JhoneRAT通过检查被感染系统的键盘布局筛选目标，包括沙特阿拉伯、伊拉克、埃及、利比亚、阿尔及利亚、摩洛哥、突尼斯、阿曼、也门、叙利亚、阿联酋、科威特、巴林和黎巴嫩。其使用三种不同的云服务来进行C2活动，使用BeautifulSoup HTML解析器每10秒检查一次@ jhone87438316(已被Twitter关闭)句柄中的推文中是否有新命令，这些命令可以根据UID信息发送给特定的受害者。JhoneRAT木马具备的功能包括：截屏功能，并将结果上传到ImgBB；从Google云端硬盘下载伪装成图片的二进制文件并执行；执行命令并将输出发送到Google Forms。攻击者通过检查磁盘序列号和删除Python字节码标头来反虚拟机、反反编译器。该活动从2019年11月开始，目前仍在进行中。"
450,科威特 (5),xHunt活动使用新CASHY200后门，利用DNS隧道与C2通信,2019/10/12,paloalto,['木马后门'],APT34OilRig,xHunt活动是针对科威特组织的网络攻击活动，最近，研究人员发现了该活动使用新的基于PowerShell的后门CASHY200，后门与windows64x[.]com进行通信，该域名与先前的xHunt活动关联。2018年5月1日和6月3日，研究人员首次发现安装和执行CASHY200 早期PowerShell脚本的可执行文件，被用来对付科威特政府，该文件与firewallsupports[.]com通信。后门依赖于DNS A查询，将数据从木马发送到查询域子域内的C2服务器，并从C2服务器接收IPv4应答数据。攻击者使用特定的DNS查询结构来发送请求，如下：&lt;5个随机字符&gt; .windows64x [.] com。请求类型代表查询目的，主机名是专门为感染系统创建的硬编码到木马中的唯一字符串。
451,白俄罗斯 (5),Stantinko僵尸网络分发矿工，利用YouTube存储矿池代理,2019/11/26,ESET,['暂无数据'],暂无数据,最近，研究人员发现Stantinko僵尸网络至少从2018年8月开始分发门罗币矿工获取利益。该僵尸网络至少从2012年起就开始活跃，主要针对俄罗斯、乌克兰、白俄罗斯和哈萨克斯坦的用户。之前，该僵尸网络进行了点击欺诈，广告注入，社交网络欺诈和密码窃取攻击。矿工模块是xmr-stak开源cryptominer的高度修改版本，该模块通过挖掘加密货币来耗尽受感染机器的大部分资源。为了逃避检测，矿工程序会删除所有不必要的字符串甚至整个功能，其余的字符串和函数被严重混淆。并且不会直接与其矿池进行通信，而是通过从YouTube视频的描述文本中获取其IP代理进行通信。同时还具备暂停其他矿工，检测安全软件等功能。如果矿工程序检测到机器未连接任何电源，则暂停采矿，以防止电池耗尽引起用户怀疑。
452,白俄罗斯 (5),神秘APT框架DarkUniverse被曝光，使用鱼叉式钓鱼进行窃密活动,2019/11/6,Kaspersky,['鱼叉邮件'],暂无数据,卡巴斯基最近揭露了神秘APT组织框架DarkUniverse的一系列活动，该组织从2009年到2017年一直活跃，这些活动与ItaDuke系列活动存在代码重叠。攻击者主要采用鱼叉式钓鱼手法，向目标发送带有恶意Microsoft Office文档的信函，2018年的攻击活动中大约有20名受害者，受害者包括平民组织和军事组织，分别位于叙利亚，伊朗，阿富汗，坦桑尼亚，埃塞俄比亚，苏丹，俄罗斯，白俄罗斯和阿拉伯联合酋长国。恶意样本在发送之前立即编译，2017年使用的最新样本中包括updater.mod和提供键盘记录功能的gum30.dll文件。updater.mod模块负责连接到C2并下载其他恶意软件模块，包括dfrgntfs5.sqt–用于执行来自C2的命令的模块，msvcrt58.sqt–窃取邮件凭据和电子邮件的模块等，所有的恶意软件模块均使用自定义算法加密。恶意软件配置存储在注册表中的SOFTWARE\AppDataLow\GUI\LegacyP中，其中包括C2账户凭据等信息。
453,白俄罗斯 (5),新APT组织Calypso揭露，使用木马Calypso RAT进行恶意活动,2019/11/5,ptsecurity,['木马后门'],Calypso,国外研究人员最近揭露了新的APT组织Calypso，该组织至少从2016年9月以来一直活跃，主要动机是盗窃机密数据，目标包括巴西、印度、哈萨克斯坦、俄罗斯、泰国和土耳其的政府机构。攻击者使用ASPX Web Shell访问了受感染组织的内部网络，利用SysInternals、Nbtscan、DoublePulsar等公开工具和漏洞来上传webShell。在一次攻击中，该组织使用了Calypso RAT，PlugX和Byeby木马，Calypso RAT是该小组独有的恶意软件。同时，研究人员还发现了其dropper-stager分发了名为Hussar和FlyingDutchman的有效负载。该攻击组织疑似来自于亚洲国家。
454,白俄罗斯 (5),针对后苏联国家的银行攻击活动：混合网络犯罪研究,2017/10/10,Trustwave,['暂无数据'],暂无数据,今天我们发布了一份SpiderLabs高级威胁报告，其中详细介绍了针对主要位于后苏联国家的银行的主要网络攻击。所有攻击都有一个共同的概况，整个操作的精细调整显示了一种创新的窃取金钱的新技术。
455,白俄罗斯 (5),攻击组织使用cmstar木马攻击白俄罗斯政府,2017/9/28,paloalto,"['后门木马', '鱼叉', '式', '钓鱼攻击', '漏洞利用', '供应链攻击', '水坑攻击']",暂无数据,Palo Alto Networks Unit 42发现了一系列网络钓鱼电子邮件，其中包含针对白俄罗斯国家各政府机构的先前讨论的CMSTAR恶意软件系列的更新版本。 我们首先在2015年春季和2016年晚些时候报告了针对鱼叉式网络钓鱼攻击的CMSTAR。 在这次最新的活动中，我们在今年6月至8月间共观察了20封独特的电子邮件，其中包括CMSTAR下载器的两个新变种。 我们还发现了两个以前未知的有效载荷。 这些有效负载包含后门，我们分别命名为BYEBY和PYLOT。
456,南亚 (5),“透明部落” APT组织移动端新近活动披露,2021/2/24,奇安信,['伪造程序'],,2021年2月，奇安信威胁情报中心移动安全团队在移动端高级威胁分析运营过程中，发现APT组织“透明部落”新近活动采用的移动端Tahorse RAT出现新变种。Tahorse RAT是APT组织“透明部落”此前基于开源的Ahmyth远控定制生成，于2020年8月25日被奇安信进行命名披露。此次Tahorse RAT变种主要去掉了漏洞的使用，但其恶意功能保持不变，部分变种还增加了Google提供的FireBase能力实现云控制，目前未发现此恶意代码对国内有影响。 2020年8月，奇安信威胁情报中心移动安全团队与安全厂商卡巴先后披露了APT组织“透明部落”在移动端的攻击活动。通过关联分析，我们发现到此次Tahorse RAT新变种样本出现在被披露后的第二周；通过与2020年7月印度陆军禁用的89款APP名单比较发现，新变种应用均避开了禁用的APP名单，伪装成新的社交应用进行传播，甚至直接伪装成印度陆军新闻应用进行攻击，可见该组织具备较快的更新响应能力。 “透明部落”是一个南亚来源具有政府背景的APT组织，其长期针对周边国家和地区的军队和政府机构实施定向攻击。为了防止威胁的进一步扩散，奇安信威胁情报中心对该安全事件进行详细分析和披露，以提醒各安全厂商第一时间关注相关的攻击事件。
457,南亚 (5),IndigoDrop利用军事主题的诱饵传播恶意软件,2020/6/22,Talos,['恶意软件'],暂无数据,思科Talos观察到了一个恶意软件活动，该活动利用军事主题的恶意Microsoft Office文档（maldocs）传播了包含完整RAT功能的Cobalt Strike有效载荷。该攻击由一个高度模块化的dropper可执行文件组成，研究人员将其称为“ IndigoDrop”，利用恶意文档将该文件拖放至受害者的端点。这些恶意文档使用恶意宏来进行多阶段和高度模块化的感染。该攻击活动似乎针对南亚的军事和政府组织。
458,南亚 (5),BackConfig更新换代：针对南亚政府和军事组织的恶意软件分析,2020/5/11,paloalto,"['鱼叉', '式', '钓鱼邮件']",暂无数据,Unit42研究人员在过去的4个月中，持续监测到利用鱼叉式钓鱼邮件针对南亚政府和军事组织的攻击活动，此类攻击通过带有恶意的宏的xls文档进行攻击，一旦受害者启用宏后，恶意宏将释放多个恶意组件安装最终的恶意程序，最终插件式木马BackConfig将被执行起来，BackConfig可下载执行各种功能的恶意组件，包括收集系统信息，键盘记录，上传文件等。 根据Unit42的分析表明，该APT组织一直在尝试改变攻击方式，但一些习惯却难以改变，例如该组织的宏利用样本，在启用宏后，都会弹出一个虚假的错误消息框，以促使受害者相信文件损坏导致无法查看。但错误消息框的消息内容都存在着拼写或语法错误。
459,南亚 (5),“折纸”行动：针对南亚多国军政机构的网络攻击,2020/1/15,安天,"['钓鱼网站', '社会工程学', '木马后门', '钓鱼邮件', '鱼叉邮件']",幼象,在过去的2019年，安天CERT（应急响应中心）继续关注相关威胁来源方向，接连捕获多批针对南亚多国军事、政府和教育等实体的攻击样本，且样本之间存在一定关联，攻击者带有明显窃密意图，受害者集中于巴基斯坦，少量分布在孟加拉、斯里兰卡和马尔代夫等南亚国家。根据当前观测数据，攻击者投递的诱饵文件形态丰富，诱饵的主题涉及军情事务、地缘争端、核武器、区域会议等重要话题，攻击者所使用的木马武器既有开源工具、也有自研工具，包括其中一种通过U盘摆渡机制，突破内网隔离以获取内网数据的木马。这一系列的攻击活动至少在2017年7月已经开始，迄今仍保持活跃。通过溯源分析，这些攻击样本来自被安天命名为“幼象”的组织（考虑到组织攻击手法简单、载荷还不成熟等特点，因此我们命名为“幼象”），其手法和装备与“白象”组织有一定差异，同时我们判断该组织与友商命名为“响尾蛇”的攻击组织存在关联。根据攻击者擅长依托少量资源伪装变换的特点，我们将这系列攻击活动命名为“折纸”行动（Operation PaperFolding）。
460,南亚 (5),Platinum组织最新攻击活动，使用新无文件后门Titanium,2019/11/11,Kaspersky,['暂无数据'],TwoForOnePlatinum,由微软追踪到的高级持续威胁组织Platinum正在使用一种名为Titanium的新型木马后门恶意软件来渗透并控制目标系统。Titanium的与众不同之处在于它使用了各种隐藏方法，将其伪装成安全解决方案、声音驱动程序或DVD视频创作工具。至少从2009年起，Platinum(也被卡巴斯基跟踪为TwoForOne)就一直活跃在亚太地区，目标是政府机构、国防机构、情报机构、外交机构、政府机构。该活动的主要目标位于南亚和东南亚。根据卡巴斯基的研究团队所言，Platinum使用本地内部网站传递恶意负载，或者通过未知的方法将shell代码注入到系统进程中。Shellcode通过从命令和控制服务器下载加密的有效载荷，对其解密并在感染链中启动下一个有效载荷，从而在目标机器上获得最初的立足点。恶意负载使用Windows后台智能传输服务(BITS)服务下载所需的文件，并利用合法的cURL工具与C2服务器通信。Titanium有效负载将被加载到内存中并启动，该负载通过Windows API调用和循环进行混淆，以绕过检测，接收到的C2命令隐藏在PNG文件中。由于使用了加密和无文件技术，无法将文件系统中的任何文件检测为恶意文件。
461,伊朗 (5),利用Agent Tesla间谍软件针对能源公司的攻击活动,2020/4/21,Bitdefender,"['鱼叉', '式', '攻击']",暂无数据,Bitdefender研究人员最近发现了鱼叉式攻击活动，攻击者冒充了著名的埃及工程承包和货运公司，从而释放执行Agent Tesla间谍软件。假冒的工程承包商（Enppi –石油和加工业工程）在石油和天然气的陆上和海上项目方面经验丰富，攻击者滥用其声誉瞄准马来西亚，美国，伊朗，南非，阿曼和土耳其等。
462,伊朗 (5),利用对冠状病毒的恐慌，黑客瞄准全球受害者,2020/3/12,Recorded Future,"['网络', '钓鱼攻击', '恶意软件']",暂无数据,2020年3月12日，安全公司Recorded Future的安全研究部门 Insikt Group发布《利用对冠状病毒的恐慌，黑客瞄准全球受害者》的报告： 2019年冠状病毒病（COVID-19）的出现给金融、制造业和医疗保健等多个领域带来混乱，同时，它也引发了新的网络安全威胁。Recorded Future观察到，网络上出现一批以COVID-19为主题的网络钓鱼攻击，黑客承诺附件中包含有关于COVID-19的信息，让受害者下载恶意软件或泄露个人信息。许多黑客以及Trickbot、Lokibot和Agent Tesla等恶意软件都使用了这些技术，其攻击目标包括美国、意大利、乌克兰和伊朗。黑客还利用美国疾病控制和预防中心（CDC）、世界卫生组织（WHO），乌克兰卫生部公共卫生中心、中国卫生部等国家卫生机构，以及联邦快递（FedEx）等公司的品牌来获取受害者信任。
463,伊朗 (5),神秘APT框架DarkUniverse被曝光，使用鱼叉式钓鱼进行窃密活动,2019/11/6,Kaspersky,['鱼叉邮件'],暂无数据,卡巴斯基最近揭露了神秘APT组织框架DarkUniverse的一系列活动，该组织从2009年到2017年一直活跃，这些活动与ItaDuke系列活动存在代码重叠。攻击者主要采用鱼叉式钓鱼手法，向目标发送带有恶意Microsoft Office文档的信函，2018年的攻击活动中大约有20名受害者，受害者包括平民组织和军事组织，分别位于叙利亚，伊朗，阿富汗，坦桑尼亚，埃塞俄比亚，苏丹，俄罗斯，白俄罗斯和阿拉伯联合酋长国。恶意样本在发送之前立即编译，2017年使用的最新样本中包括updater.mod和提供键盘记录功能的gum30.dll文件。updater.mod模块负责连接到C2并下载其他恶意软件模块，包括dfrgntfs5.sqt–用于执行来自C2的命令的模块，msvcrt58.sqt–窃取邮件凭据和电子邮件的模块等，所有的恶意软件模块均使用自定义算法加密。恶意软件配置存储在注册表中的SOFTWARE\AppDataLow\GUI\LegacyP中，其中包括C2账户凭据等信息。
464,伊朗 (5),针对伊朗的Cyrus攻击活动，使用伊朗文化主题恶意APP应用,2019/10/10,奇安信,['木马后门'],暂无数据,"奇安信研究人员最近发现一起针对伊朗的安卓APK攻击。恶意软件仿冒波斯帝国创建者""کوروش بزرگ!”(居鲁士大帝！)，诱骗用户安装使用，运行后展示居鲁士大帝生平事迹，并在后台下发20多种控制指令，获取用户手机信息，包括文件、短信、地理位置、通话记录等。除此之外，还发现一批类似的样本，都是通过仿冒与伊朗文化有关的APP传播，因此将该活动命名为Cyrus(居鲁士 )活动。"
